Område,Flodområde,StnNamn,VattenförekomstID,StationsID,Stationskoordinat N/X,Stationskoordinat E/Y
Bottenhavet,Ume älv,Stornorrfors,WA13234168,SE708979-170865,7090468,748065
Bottenhavet,Lögde älv,Lögdeå,WA38012409,SE705438-167938,7054698,719250
Bottenhavet,Öre älv,Torrböle,,SE707160-168739,7072014,727041
Bottenhavet,Dalälven,Älvkarleby,WA68838669,SE671742-158974,6716732,633829
Bottenhavet,Forsmarksån,Johannisfors,WA92637595,SE669500-163246,6694843,676810
Bottenhavet,Ljusnan,Ljusne Strömmar,WA76780102,SE678924-156862,6788266,611834
Bottenhavet,Delångersån,Iggesund,WA89618757,SE683661-156793,6835609,610559
Bottenhavet,Gavleån,Gävle,,SE672915-157210,6728242,616052
Bottenhavet,Indalsälven,Bergeforsen,WA76246554,SE693587-158205,6935006,623440
Bottenhavet,Ljungan,Skallböleforsen,WA99459812,SE691743-155984,6916297,601468
Bottenhavet,Ångermanälven,Sollefteå,WA60702203,SE700773-157350,7006732,613993
Bottenhavet,Gide älv,Gideåbacka,WA82283677,SE703055-166572,7030703,705895
Bottenviken,Skellefte älv,Kvistforsen,WA99394482,SE719095-173622,7191952,774344
Bottenviken,Rickleån,Utl Rickleån,WA51114691,SE711900-175034,7120198,789375
Bottenviken,Kalix älv,Karlsborg,WA22703508,SE732407-183604,7326323,872437
Bottenviken,Lule älv,Luleå,WA33065308,SE729186-178575,7293472,822571
Bottenviken,Pite älv,Bölebyn,,SE726410-175525,7265328,792434
Bottenviken,Torne älv,Mattila,WA29376215,SE733351-187900,7336315,915269
Bottenviken,Råne älv,Niemisel,WA30315661,SE733833-177925,7339849,815475
Bottenviken,Alterälven,Norrfjärden,WA17957286,SE726942-176351,7270752,800624
Bottenviken,Töre älv,Infl.Bölträsket,WA91101565,SE733222-181059,7334144,846887
Kattegatt,RÖNNEÅN,NA,WA60391049,SE622467-133458,6221172,384696
Kattegatt,LAGAN,NA,WA18208119,SE626875-133051,6265176,380113
Kattegatt,Nissan,Halmstad,WA19239539,SE628877-132040,6285064,369774
Kattegatt,Viskan,Åsbro,WA84417087,SE635136-128895,6347240,337607
Kattegatt,Ätran,Falkenberg,WA28623026,SE631338-129833,6309398,347429
Kattegatt,Göta älv,Trollhättan,WA16165459,SE646771-129330,6463562,340569
Kattegatt,Göta älv,Alelyckan,WA33908756,SE641071-127372,6406368,321683
Skagerrak,Bäveån,Uddevalla,WA83397198,SE647582-127369,6471431,320875
Skagerrak,Enningdalsälven,N.Bullaren,WA99571073,SE653621-125394,6531540,300414
Skagerrak,Örekilsälven,Munkedal,WA47806230,SE648930-125964,6484733,306674
Öresund,Råån,Helsingborg,WA86069323,SE621205-131122,6208288,361499
Östersjön,Norrström,Stockholm,WA53873576,SE658078-162873,6580613,674471
Östersjön,Norrström,Stockholm Centralbron,WA42021115,SE658065-162841,6580480,674153
Östersjön,Nyköpingsån,Spånga,WA54398072,SE652370-156442,6522776,610872
Östersjön,Motala Ström,Norrköping,WA88923173,SE649673-151838,6495264,565175
Östersjön,Alsterån,Getebro,WA81275650,SE632033-152167,6318978,570563
Östersjön,Botorpström,Brunnsö,WA62188433,SE639339-154122,6392240,589240
Östersjön,Emån,Emsfors,WA19847939,SE633520-153920,6334048,587911
Östersjön,Ljungbyån,Ljungbyholm,WA98903891,SE627831-152255,6276986,571938
Östersjön,Lyckebyån,Lyckeby,WA79289586,SE623006-149119,6228390,541157
Östersjön,Mörrumsån,Mörrum,WA68541265,SE622950-143450,6227167,484501
Östersjön,Helgeån,Hammarsjön,WA15465984,SE620277-140091,6200060,451241
Bottenviken,OÖVERVAKAT,NA,,,,
Bottenhavet,OÖVERVAKAT,NA,,,,
Östersjön,OÖVERVAKAT,NA,,,,
Öresund,OÖVERVAKAT,NA,,,,
Kattegatt,OÖVERVAKAT,NA,,,,
Skagerrak,OÖVERVAKAT,NA,,,,
